,etoiles,n_avis,date_avis,date_experience,Société,text_total,text_clean_sentences_neg,text_clean_sentences_pos,text_stop,text_clean_sentences_neg_stop,text_clean_sentences_pos_stop
76376,5,2.0,2022-12-10 11:38:22+00:00,2022-12-09,LaBanquePostale,Merci beaucoup la banque postale. na,,Merci beaucoup la banque postale,Merci beaucoup banque postale .,,Merci beaucoup banque postale
66563,5,1.0,2023-10-13 21:28:58+00:00,2023-10-12,Pixpay,"""Bonne appli. Bonne appli, simple pour moi et mon fils. J’ai pris PIXPAY quand mon fils de 15 ans est entré en apprentissage, je voulais qu’il commence à gérer son argent avec plus de facilité qu’avec un compte bancaire et je ne regrette pas. 🙂""",J’ ai pris PIXPAY,Bonne appli. Bonne appli simple pour moi et mon fils. quand mon fils de 15 ans est entré en apprentissage je voulais qu’ il commence à gérer son argent avec plus de facilité qu’ avec un compte bancaire et je ne regrette pas,"""Bonne appli . Bonne appli , simple fils . J’ pris PIXPAY fils 15 ans entré apprentissage , voulais commence gérer argent facilité compte bancaire regrette . 🙂""",J ’ pris PIXPAY,Bonne appli . Bonne appli simple fils . fils 15 ans entré apprentissage voulais qu ’ commence gérer argent facilité qu ’ compte bancaire regrette
53483,5,16.0,2023-08-24 20:36:23+00:00,2023-08-23,MaFrenchBank,"""Bon service. Cliente depuis une année, j’apprécie beaucoup l’application qui permet de suivre en temps réel les mouvements bancaires, j’apprécie tout autant les notifications de l’application qui vous informe instantanément des paiements échoués ou des retraits à l’étranger .Grâce à ce service , j’ai pu m’apercevoir que les donnés de ma carte était en possession d’une autre personne et que plusieurs tentatives de paiement avait échoué . J’aime aussi la tirelire qui permet d’économiser et d’emprunter à la fameuse tirelire. Et surtout les paiements à l’étranger ainsi que les retraits sont sans frais. Pas de frais cachés et pas de découvert !""",Pas de frais cachés et pas de découvert,Bon service. Cliente depuis une année j’ apprécie beaucoup l’ application qui permet de suivre en temps réel les mouvements bancaires j’ apprécie tout autant les notifications de l’ application qui vous informe instantanément des paiements échoués ou des retraits à l’ étranger .Grâce à ce service j’ ai pu m’ apercevoir que les donnés de ma carte était en possession d’ une autre personne et que plusieurs tentatives de paiement avait échoué. J’ aime aussi la tirelire qui permet d’ économiser et d’ emprunter à la fameuse tirelire. Et surtout les paiements à l’ étranger ainsi que les retraits sont sans frais,"""Bon service . Cliente année , apprécie beaucoup application temps réel mouvements bancaires , apprécie autant notifications application informe instantanément paiements échoués retraits étranger .Grâce service , apercevoir donnés carte possession tentatives paiement échoué . J’ aime tirelire économiser emprunter fameuse tirelire . Et paiements étranger retraits frais . Pas frais cachés découvert !""",Pas frais cachés découvert,Bon service . Cliente année j ’ apprécie beaucoup l ’ application temps réel mouvements bancaires j ’ apprécie autant notifications l ’ application informe instantanément paiements échoués retraits l ’ étranger .Grâce service j ’ m ’ apercevoir donnés carte possession d ’ tentatives paiement échoué . J ’ aime tirelire d ’ économiser d ’ emprunter fameuse tirelire . Et paiements l ’ étranger retraits frais
20802,3,6.0,2012-03-01 15:18:09+00:00,2012-03-01,Fortuneo,"""du bon et du moins bon. C'est à mon avis la meilleure banque en ligne. Les frais sont bas et les ordres sont exécutés correctement. Le seul reproche, c'est le site Internet. Les temps de réponse ne sont pas bons, délais de chargement de pages souvent expirés, l'information sur les titres côtés hors Europe  est difficile à trouver... Je reste fidèle à Fortuneo et je les recommande à mes amis mais je recherche les informations boursières ailleurs (nasdaq.com, boursier.com, advfn, ...). Que cela ne vous rebute pas, ils sont fiables et très corrects.""",du bon et du moins bon. Le seul reproche c' est le site Internet,C' est à mon avis la meilleure banque en ligne. Les frais sont bas et les ordres sont exécutés correctement. Les temps de réponse ne sont pas bons délais de chargement de pages souvent expirés l' information sur les titres côtés hors Europe   est difficile à trouver Je reste fidèle à Fortuneo et je les recommande à mes amis mais je recherche les informations boursières ailleurs nasdaq.com boursier.com advfn. Que cela ne vous rebute pas ils sont fiables et très corrects,"""bon bon . C' avis meilleure banque ligne . Les frais ordres exécutés correctement . Le reproche , site Internet . Les temps réponse bons , délais chargement pages expirés , information titres côtés Europe   difficile trouver ... Je fidèle Fortuneo recommande amis recherche informations boursières ailleurs ( nasdaq.com , boursier.com , advfn , ... ) . Que rebute , fiables corrects .""",bon bon . Le reproche c ' site Internet,C ' avis meilleure banque ligne . Les frais ordres exécutés correctement . Les temps réponse bons délais chargement pages expirés l ' information titres côtés Europe    difficile trouver Je fidèle Fortuneo recommande amis recherche informations boursières ailleurs nasdaq.com boursier.com advfn . Que rebute fiables corrects
82016,5,2.0,2020-11-19 20:46:17+00:00,2020-11-19,CIBFormation,Formation en visio conférence très…. Formation en visio conférence très enrichissante. Merci à pascal pour son enthousiasme dans sa façon de nous faire partager son expérience.,,Formation en visio conférence très. Formation en visio conférence très enrichissante. Merci à pascal pour son enthousiasme dans sa façon de nous faire partager son expérience,Formation visio conférence … . Formation visio conférence enrichissante . Merci pascal enthousiasme faire partager expérience .,,Formation visio conférence . Formation visio conférence enrichissante . Merci pascal enthousiasme faire partager expérience
52859,1,2.0,2019-11-09 17:19:37+00:00,2019-11-09,Oney,"""J'ai acheté un telephone,à payer en 4…. J'ai acheté un telephone,à payer en 4 fois.A ma surprise je vois qu'on m'a mis 1900 euros à disposition.J'ai envoyé une lettre recommandée avec accusé de réception pour renoncer dans les  délais de 14 jours.Je reçois  la réponse, mais la résiliation se fera à la date d'échéance. Alors que  la loi me donne 14 jours pour renoncer.Arnaque arnaque arnaque. Si vous allez à Auchan ,mefiez vous.""",J' ai acheté un telephone à payer en 4. J' ai acheté un telephone à payer en 4 fois. A ma surprise je vois qu' on m' a mis 1900 euros à disposition. J' ai envoyé une lettre recommandée avec accusé de réception pour renoncer dans les   délais de 14 jours. Je reçois   la réponse mais la résiliation se fera à la date d' échéance. Alors que   la loi me donne 14 jours pour renoncer. Arnaque arnaque. Si vous allez à Auchan mefiez vous,,"""J' acheté telephone , payer 4 … . J' acheté telephone , payer 4 fois . A surprise vois mis 1900 euros disposition . J' envoyé lettre recommandée accusé réception renoncer   délais 14 jours . Je reçois   réponse , résiliation fera date échéance . Alors   loi donne 14 jours renoncer . Arnaque arnaque arnaque . Si allez Auchan , mefiez .""",J ' acheté telephone payer 4 . J ' acheté telephone payer 4 fois . A surprise vois qu ' m ' mis 1900 euros disposition . J ' envoyé lettre recommandée accusé réception renoncer    délais 14 jours . Je reçois    réponse résiliation fera date d ' échéance . Alors    loi donne 14 jours renoncer . Arnaque arnaque . Si allez Auchan mefiez,
38129,5,1.0,2022-01-03 17:37:54+00:00,2022-01-03,Cofidis,Je vous souhaite une bonne année 2022…. Je vous souhaite une bonne année 2022 et COFIDIS et sérieux et très rapide pour nous soulager quand un problème survient merci COFIDIS,,Je vous souhaite une bonne année 2022. Je vous souhaite une bonne année 2022 et COFIDIS et sérieux et très rapide pour nous soulager quand un problème survient merci COFIDIS,Je souhaite bonne année 2022 … . Je souhaite bonne année 2022 COFIDIS sérieux rapide soulager problème survient COFIDIS,,Je souhaite bonne année 2022 . Je souhaite bonne année 2022 COFIDIS sérieux rapide soulager problème survient COFIDIS
100181,5,1.0,2022-01-25 12:29:58+00:00,2022-01-25,OrangeBank,Super ecoute. na,,Super ecoute,Super ecoute .,,Super ecoute
101985,5,2.0,2020-10-01 09:20:45+00:00,2020-10-01,OrangeBank,"""Orange rue de Rennes Paris 6e. Saïd nous a vraiment bien accompagné pour monter un package banque, internet, télé, téléphone et mobile. Doté d’une grande patience, d’un professionnalisme et d’un bon sens de l’humour, il a été tellement bien veillant envers nous. Encore une fois, mille merci à Saïd et l’équipe Orange rue de Rennes aussi !""",,Orange rue de Rennes Paris 6e. Saïd nous a vraiment bien accompagné pour monter un package banque internet télé téléphone et mobile. Doté d’ une grande patience d’ un professionnalisme et d’ un bon sens de l’ humour il a été tellement bien veillant envers nous. Encore une fois mille merci à Saïd et l’ équipe Orange rue de Rennes aussi,"""Orange rue Rennes Paris 6e . Saïd vraiment bien accompagné monter package banque , internet , télé , téléphone mobile . Doté grande patience , professionnalisme bon sens humour , été bien veillant . Encore fois , Saïd équipe Orange rue Rennes !""",,Orange rue Rennes Paris 6e . Saïd vraiment bien accompagné monter package banque internet télé téléphone mobile . Doté d ’ grande patience d ’ professionnalisme d ’ bon sens l ’ humour été bien veillant . Encore fois Saïd l ’ équipe Orange rue Rennes
69220,5,7.0,2023-06-06 18:46:44+00:00,2023-06-06,Monabanq,Entièrement satisfaite de cette banque…. Entièrement satisfaite de cette banque depuis 2018,,Entièrement satisfaite de cette banque. Entièrement satisfaite de cette banque depuis 2018,Entièrement satisfaite banque … . Entièrement satisfaite banque 2018,,Entièrement satisfaite banque . Entièrement satisfaite banque 2018
19074,5,2.0,2023-03-29 18:50:39+00:00,2023-03-14,Fortuneo,"""pas de pbs pour accéder au compte…. pas de pbs pour accéder au compte client, et le site est très clair à utiliser...merci""",,pas de pbs pour accéder au compte. pas de pbs pour accéder au compte client et le site est très clair à utiliser merci,"""pbs accéder compte … . pbs accéder compte client , site clair utiliser ...""",,pbs accéder compte . pbs accéder compte client site clair utiliser
11919,1,57.0,2022-10-07 12:44:47+00:00,2022-10-07,Floabank,"""Relation client catastrophique. Aucun interlocuteur en cas de souci. La carte vous offre bon nombre d'avantages, mais impossible de les joindre en cas de problème. Donc je vous les déconseille fortement. J'ai acheté une e-carte cadeau Casino de 100 euros que je n'ai jamais reçu. Et j'ai un prélèvement frauduleux sur mon compte, mais leurs lignes sont saturées. Quand on obtient quelqu'1, il vous met en attente et vous rebasculez dans la queue au bout d'1 moment. Bref, une horreur. Préférez une banque plus classique où vous pouvez joindre quelqu'un. Voire, faire opposition d'une opération sur leur application. @Floabank, pour information, mon identifiant est le 81136746""",Relation client catastrophique. Aucun interlocuteur en cas de souci. La carte vous offre bon nombre d' avantages mais impossible de les joindre en cas de problème. Donc je vous les déconseille fortement. J' ai acheté une e-carte cadeau Casino de 100 euros que je n' ai jamais reçu. Et j' ai un prélèvement frauduleux sur mon compte mais leurs lignes sont saturées. Quand on obtient quelqu'1 il vous met en attente et vous rebasculez dans la queue au bout d'1 moment. Bref une horreur. Préférez une banque plus classique où vous pouvez joindre quelqu' un. Voire faire opposition d' une opération sur leur application,@Floabank pour information mon identifiant est le 81136746,"""Relation client catastrophique . Aucun interlocuteur cas souci . La carte offre bon nombre avantages , impossible joindre cas problème . Donc déconseille fortement . J' acheté e-carte cadeau Casino 100 euros jamais reçu . Et prélèvement frauduleux compte , lignes saturées . Quand obtient quelqu'1 , met attente rebasculez queue bout d'1 moment . Bref , horreur . Préférez banque classique pouvez joindre quelqu' . Voire , faire opposition opération application . @Floabank , information , identifiant 81136746""",Relation client catastrophique . Aucun interlocuteur cas souci . La carte offre bon nombre d ' avantages impossible joindre cas problème . Donc déconseille fortement . J ' acheté e-carte cadeau Casino 100 euros n ' jamais reçu . Et j ' prélèvement frauduleux compte lignes saturées . Quand obtient quelqu'1 met attente rebasculez queue bout d'1 moment . Bref horreur . Préférez banque classique pouvez joindre quelqu ' . Voire faire opposition d ' opération application,@Floabank information identifiant 81136746
34453,4,1.0,2022-07-12 09:12:24+00:00,2022-07-12,Cofidis,Facilité de remplir une demande de…. Facilité de remplir une demande de prêt.  Accompagnement apprécié par une personne aimable et compatissante. Par contre le délai de réception des fonds a été plus long. 15 jours après la validation de l'accord.bonne expérience pour l'instant.,Par contre le délai de réception des fonds a été plus long,Facilité de remplir une demande de. Facilité de remplir une demande de prêt. Accompagnement apprécié par une personne aimable et compatissante. 15 jours après la validation de l' accord.bonne expérience pour l' instant,Facilité remplir demande … . Facilité remplir demande prêt .   Accompagnement apprécié aimable compatissante . Par contre délai réception fonds été long . 15 jours validation accord.bonne expérience instant .,Par contre délai réception fonds été long,Facilité remplir demande . Facilité remplir demande prêt . Accompagnement apprécié aimable compatissante . 15 jours validation l ' accord.bonne expérience l ' instant
45456,5,3.0,2021-02-02 14:33:37+00:00,2021-02-02,Cofidis,Très satisfaite. na,,Très satisfaite,Très satisfaite .,,Très satisfaite
81444,1,1.0,2021-10-11 13:02:17+00:00,2021-10-11,SOFINCO,Ce sont les rois des frais. Ce sont les rois des frais! vous demandez une pause de mensualité : 279.05 euros d'intérêts en plus! un changement de date d'échéance 240 euros d'intérêts !! J'espère que les employés ont l'équivalent en primes que les intérêts qu'ils demandent à leurs clients!!,Ce sont les rois des frais. Ce sont les rois des frais. vous demandez une pause de mensualité. euros d' intérêts en plus. un changement de date d' échéance 240 euros d' intérêts. J' espère que les employés ont l' équivalent en primes que les intérêts qu' ils demandent à leurs clients,,Ce rois frais . Ce rois frais ! demandez pause mensualité : 279.05 euros intérêts ! changement date échéance 240 euros intérêts ! ! J' espère employés équivalent primes intérêts demandent clients ! !,Ce rois frais . Ce rois frais . demandez pause mensualité . euros d ' intérêts . changement date d ' échéance 240 euros d ' intérêts . J ' espère employés l ' équivalent primes intérêts qu ' demandent clients,
77003,1,2.0,2021-11-19 09:10:57+00:00,2021-11-19,LaBanquePostale,"""Mauvaise expérience à la banque postale. Bonjour Je mets un avis car je ne sais plus vers qui me tourner Cette situation dur depuis septembre  156.99 euros Été prélevé deux fois sur mon compteJ’ai envoyé plusieurs mails j’étais présenté à la poste appelé plusieurs fois pour 156,99❌2=313,98 euros Aucun réponse à mes mails. J’ai eu une conseillère suite à mes multiples relances qui malheureusement m’a dit que je dois voir directement avec le Western Union la banque il a rien à voir  et m’a raccroché au nez , pourtant ma demande est simple , sur mon compte il y’a eu un doublon et aucune régulation n’a été faite . Je tiens à dire que je suis profondément choquée car aujourd’hui ayant un petit salaire mon compte est complètement déréglé et personne ne me répond . Merci s’il vous plaît de faire le nécessaire en urgence. Cordialement""","""Mauvaise expérience à la banque postale. Bonjour Je mets un avis car je ne sais plus vers qui me tourner Cette situation dur depuis septembre  . Été prélevé deux fois sur mon compteJ’ ai envoyé plusieurs mails j’ étais présenté à la poste appelé plusieurs fois pour 156,99 ❌ 2=313,98. Aucun réponse à mes mails. J’ ai eu une conseillère suite à mes multiples relances qui malheureusement m’ a dit que je dois voir directement avec le Western Union la banque il a rien à voir   et m’ a raccroché au nez pourtant ma demande est simple sur mon compte il y’ a eu un doublon et aucune régulation n’ a été faite. Je tiens à dire que je suis profondément choquée car aujourd’hui ayant un petit salaire mon compte est complètement déréglé et personne ne me répond""",156.99 euros. Merci s’. il vous plaît de faire le nécessaire en urgence,"""Mauvaise expérience banque postale . Bonjour Je mets avis sais tourner Cette situation dur septembre   156.99 euros Été prélevé fois compteJ’ envoyé mails présenté poste appelé fois 156,99 ❌ 2=313,98 euros Aucun réponse mails . J’ conseillère suite multiples relances malheureusement dois voir Western Union banque rien voir   raccroché nez , pourtant demande simple , compte y’ doublon aucune régulation été faite . Je profondément choquée aujourd’hui petit salaire compte complètement déréglé répond . Merci plaît faire nécessaire urgence . Cordialement""","""Mauvaise expérience banque postale . Bonjour Je mets avis sais tourner Cette situation dur septembre   . Été prélevé fois compteJ ’ envoyé mails j ’ présenté poste appelé fois 156,99 ❌ 2=313,98 . Aucun réponse mails . J ’ conseillère suite multiples relances malheureusement m ’ dois voir Western Union banque rien voir    m ’ raccroché nez pourtant demande simple compte ’ doublon aucune régulation n ’ été faite . Je profondément choquée aujourd’hui petit salaire compte complètement déréglé répond""",156.99 euros . Merci s ’ . plaît faire nécessaire urgence
79095,1,2.0,2023-10-18 13:32:36+00:00,2023-10-18,LaBanquePostale,"""a éviter +++. à éviter +++ , outrepasse ses  droits.j'ai  mis 1 étoile car je ne pouvais pas en mettre zéro.Je n'ai jamais une banque aussi nulle , très inquisitrice au delà de ce que dit la loi et voulant sans arrêt vous vendre ses   produits , loin d'être performants .Si vous avez de l'argent et voulez en disposer comme bon vous semble , fuyez LA BANQUE POSTALE !""",a éviter + + +. à éviter + + + outrepasse ses   droits.j' ai   mis 1 étoile car je ne pouvais pas en mettre zéro. Je n' ai jamais une banque aussi nulle très inquisitrice au delà de ce que dit la loi et voulant sans arrêt vous vendre ses    produits loin d' être performants .Si vous avez de l' argent et voulez en disposer comme bon vous semble fuyez LA BANQUE POSTALE,,"""éviter + + + . éviter + + + , outrepasse   droits.j'   mis 1 étoile pouvais mettre zéro . Je jamais banque nulle , inquisitrice loi voulant arrêt vendre    produits , loin performants .Si avez argent voulez disposer bon , fuyez LA BANQUE POSTALE !""",éviter + + + . éviter + + + outrepasse    droits.j '    mis 1 étoile pouvais mettre zéro . Je n ' jamais banque nulle inquisitrice loi voulant arrêt vendre     produits loin d ' performants .Si avez l ' argent voulez disposer bon fuyez LA BANQUE POSTALE,
57618,5,1.0,2021-01-12 17:35:46+00:00,2021-01-12,Immoprt,"""Agréable ,efficace ,honnête,disponible…. Agréable ,efficace ,honnête,disponible , il a été facile pour nous de travailler avec Mr Wociejchowski et de profiter de la tranquillité d'esprit gagnée pour faire avancer d'autres aspects de notre projet.Merci encore Delphine et Hugues""",,Agréable efficace honnête disponible. Agréable efficace honnête disponible il a été facile pour nous de travailler avec Mr Wociejchowski et de profiter de la tranquillité d' esprit gagnée pour faire avancer d' autres aspects de notre projet. Merci encore Delphine et Hugues,"""Agréable , efficace , honnête , disponible … . Agréable , efficace , honnête , disponible , été facile travailler Mr Wociejchowski profiter tranquillité esprit gagnée faire avancer aspects projet . Merci Delphine Hugues""",,Agréable efficace honnête disponible . Agréable efficace honnête disponible été facile travailler Mr Wociejchowski profiter tranquillité d ' esprit gagnée faire avancer d ' aspects projet . Merci Delphine Hugues
23388,5,1.0,2022-10-12 17:09:32+00:00,2022-10-12,Anytime,"""Bon travail. Bon travail, rapide.""",,Bon travail. Bon travail rapide,"""Bon travail . Bon travail , rapide .""",,Bon travail . Bon travail rapide
48487,5,2.0,2023-10-19 16:11:47+00:00,2023-10-06,Cofidis,Equipe à l'écoute très efficace sans…. Equipe à l'écoute très efficace sans tracas A recommander.Pour les documents à fournir aucune difficulté à transmettre ces mêmes documents.Bravo et merci à vous.,Pour les documents à fournir aucune difficulté à transmettre ces mêmes documents,Equipe à l' écoute très efficace sans. Equipe à l' écoute très efficace sans tracas A recommander. Bravo et merci à vous,Equipe écoute efficace … . Equipe écoute efficace tracas A recommander . Pour documents fournir aucune difficulté transmettre documents . Bravo .,Pour documents fournir aucune difficulté transmettre documents,Equipe l ' écoute efficace . Equipe l ' écoute efficace tracas A recommander . Bravo
